base_protein,ligand_name,rmsd,meeko_affinity,mgl_affinity,n_atoms_meeko,n_atoms_mgl
Orai1WT-MDSnap-Fr499_cleaned,174_ideal,19.03962233869149,-6.468,-6.787,10,10
Orai1WT-MDSnap-Fr499_cleaned,178_ideal,6.323022273143332,-7.796,-7.722,21,21
Orai1WT-MDSnap-Fr499_cleaned,1AL_ideal,0.9206908637901577,-6.323,-6.082,12,12
Orai1WT-MDSnap-Fr499_cleaned,1BN_ideal,1.3938060900522238,-6.355,-6.457,12,12
Orai1WT-MDSnap-Fr499_cleaned,1CM_ideal,4.635481798044298,-8.197,-7.186,18,18
Orai1WT-MDSnap-Fr499_cleaned,1CY_ideal,27.58834652849769,-7.474,-8.057,17,17
Orai1WT-MDSnap-Fr499_cleaned,1K5_ideal,20.689092180740023,-7.76,-7.439,19,19
Orai1WT-MDSnap-Fr499_cleaned,1OH_ideal,29.097118839328406,-9.011,-9.038,16,16
Orai1WT-MDSnap-Fr499_cleaned,1PC_ideal,13.193990429147826,-7.748,-7.526,18,18
Orai1WT-MDSnap-Fr499_cleaned,1WE_ideal,18.45613265015182,-6.02,-6.336,10,10
Orai1WT-MDSnap-Fr499_cleaned,201_ideal,29.481496307712515,-11.834,-10.392,24,24
Orai1WT-MDSnap-Fr499_cleaned,205_ideal,0.03561881525261642,-8.883,-8.886,20,20
Orai1WT-MDSnap-Fr499_cleaned,210_ideal,1.8825241851546843,-5.724,-5.881,13,13
Orai1WT-MDSnap-Fr499_cleaned,21B_ideal,3.557230351372718,-7.159,-7.366,22,22
Orai1WT-MDSnap-Fr499_cleaned,221_ideal,12.825587343106442,-8.232,-8.071,23,23
Orai1WT-MDSnap-Fr499_cleaned,22F_ideal,28.510341833563952,-7.854,-7.588,15,15
Orai1WT-MDSnap-Fr499_cleaned,231_ideal,1.4544336292241666,-6.522,-6.511,11,11
Orai1WT-MDSnap-Fr499_cleaned,23F_ideal,25.703490709758984,-6.787,-6.72,12,12
Orai1WT-MDSnap-Fr499_cleaned,251_ideal,27.756697731508574,-9.347,-8.575,24,24
Orai1WT-MDSnap-Fr499_cleaned,256_ideal,0.07645213254990689,-6.515,-6.543,14,14
Orai1WT-MDSnap-Fr499_cleaned,268_ideal,19.65956451196211,-5.537,-5.231,10,10
Orai1WT-MDSnap-Fr499_cleaned,269_ideal,35.94567878189128,-6.719,-6.038,11,11
Orai1WT-MDSnap-Fr499_cleaned,26C_ideal,2.3261086414363166,-9.057,-9.086,17,17
Orai1WT-MDSnap-Fr499_cleaned,270_ideal,23.95604072045295,-6.424,-6.56,10,10
Orai1WT-MDSnap-Fr499_cleaned,283_ideal,3.501917082113738,-7.734,-7.349,20,20
Orai1WT-MDSnap-Fr499_cleaned,299_ideal,27.88256514046905,-6.392,-6.332,16,16
Orai1WT-MDSnap-Fr499_cleaned,2C7_ideal,31.096894648946737,-8.209,-7.208,26,26
Orai1WT-MDSnap-Fr499_cleaned,2H3_ideal,36.300429119364416,-5.88,-5.812,12,12
Orai1WT-MDSnap-Fr499_cleaned,2HA_ideal,14.424480343037203,-4.131,-4.402,6,6
Orai1WT-MDSnap-Fr499_cleaned,2HP_ideal,0.018466185312619354,-3.956,-3.952,5,5
Orai1WT-MDSnap-Fr499_cleaned,2OH_ideal,5.464467822966413,-8.903,-8.922,17,17
Orai1WT-MDSnap-Fr499_cleaned,328_ideal,55.32837857410969,-8.07,-7.856,25,25
Orai1WT-MDSnap-Fr499_cleaned,36M_ideal,33.54203334623588,-6.571,-6.305,13,13
Orai1WT-MDSnap-Fr499_cleaned,3FG_ideal,38.948230359720405,-6.22,-6.007,13,13
Orai1WT-MDSnap-Fr499_cleaned,3G3_ideal,18.192686540353396,-8.455,-7.853,18,18
Orai1WT-MDSnap-Fr499_cleaned,3HG_ideal,3.009165781408529,-5.603,-5.116,10,10
Orai1WT-MDSnap-Fr499_cleaned,3IM_ideal,0.03467347689517124,-7.503,-7.484,16,16
Orai1WT-MDSnap-Fr499_cleaned,3MI_ideal,17.614675309241438,-9.253,-8.618,20,20
Orai1WT-MDSnap-Fr499_cleaned,3PO_ideal,1.2312401815305514,-6.19,-6.234,13,13
Orai1WT-MDSnap-Fr499_cleaned,3RL_ideal,2.688430632015246,-8.497,-8.511,19,19
Orai1WT-MDSnap-Fr499_cleaned,3SY_ideal,2.555539212508129,-4.436,-4.453,9,9
Orai1WT-MDSnap-Fr499_cleaned,416_ideal,42.86978648238704,-8.371,-8.316,22,22
Orai1WT-MDSnap-Fr499_cleaned,41A_ideal,44.09078905256491,-7.396,-6.993,18,18
Orai1WT-MDSnap-Fr499_cleaned,44B_ideal,1.0255454202963945,-8.584,-8.6,22,22
Orai1WT-MDSnap-Fr499_cleaned,4AZ_ideal,1.4559361874128214,-6.531,-6.533,11,11
Orai1WT-MDSnap-Fr499_cleaned,4BB_ideal,28.430477452199074,-8.985,-9.383,25,25
Orai1WT-MDSnap-Fr499_cleaned,4BR_ideal,1.372565621241981,-6.457,-6.421,13,13
Orai1WT-MDSnap-Fr499_cleaned,4CB_ideal,1.0039312310445703,-6.596,-6.592,12,12
Orai1WT-MDSnap-Fr499_cleaned,4CH_ideal,3.334096541793593,-5.186,-5.249,8,8
